#header: N, best P naive algorithm , best P for enhanced algorithm if any

####
4840000   ,  [69],   XXX
4850000   ,  [69],   XXX
4860000   ,  [69],   XXX
4870000   ,  [69],   XXX
4880000   ,  [69],   XXX
4890000   ,  [69],   XXX
4900000   ,  [69],   XXX
4910000   ,  [69],   XXX
4920000   ,  [69],   XXX
4930000   ,  [69],   XXX
4940000   ,  [69],   XXX
4950000   ,  [69],   XXX
4960000   ,  [69],   XXX
4970000   ,  [69],   XXX
4980000   ,  [70],   XXX
4990000   ,  [70],   XXX
5000000   ,  [70],   XXX
5010000   ,  [70],   XXX
5020000   ,  [70],   XXX
5030000   ,  [70],   XXX
5040000   ,  [70],   XXX
5050000   ,  [70],   XXX
5060000   ,  [70],   XXX
5070000   ,  [70],   XXX
5080000   ,  [70],   XXX
5090000   ,  [70],   XXX
5100000   ,  [70],   XXX
5110000   ,  [70],   XXX
5120000   ,  [71],   XXX
5130000   ,  [71],   XXX
5140000   ,  [71],   XXX
5150000   ,  [71],   XXX
5160000   ,  [71],   XXX
5170000   ,  [71],   XXX
5180000   ,  [71],   XXX
5190000   ,  [71],   XXX
5200000   ,  [71],   XXX
5210000   ,  [71],   XXX
5220000   ,  [71],   XXX
5230000   ,  [71],   XXX
5240000   ,  [71],   XXX
5250000   ,  [71],   XXX
5260000   ,  [71],   XXX
5270000   ,  [72],   XXX
5280000   ,  [72],   XXX
5290000   ,  [72],   XXX
5300000   ,  [72],   XXX
5310000   ,  [72],   XXX
5320000   ,  [72],   XXX
5330000   ,  [72],   XXX
5340000   ,  [72],   XXX
5350000   ,  [72],   XXX
5360000   ,  [72],   XXX
5370000   ,  [72],   XXX
5380000   ,  [72],   XXX
5390000   ,  [72],   XXX
5400000   ,  [72],   XXX
5410000   ,  [73],   XXX
5420000   ,  [73],   XXX
5430000   ,  [73],   XXX
5440000   ,  [73],   XXX
5450000   ,  [73],   XXX
5460000   ,  [73],   XXX
5470000   ,  [73],   XXX
5480000   ,  [73],   XXX
5490000   ,  [73],   XXX
5500000   ,  [73],   XXX
5510000   ,  [73],   XXX
5520000   ,  [73],   XXX
5530000   ,  [73],   XXX
5540000   ,  [73],   XXX
5550000   ,  [73],   XXX
5560000   ,  [74],   XXX
5570000   ,  [74],   XXX
5580000   ,  [74],   XXX
5590000   ,  [74],   XXX
5600000   ,  [74],   XXX
5610000   ,  [74],   XXX
5620000   ,  [74],   XXX
5630000   ,  [74],   XXX
5640000   ,  [74],   XXX
5650000   ,  [74],   XXX
5660000   ,  [74],   XXX
5670000   ,  [74],   XXX
5680000   ,  [74],   XXX
5690000   ,  [74],   XXX
5700000   ,  [74],   XXX
5710000   ,  [75],   XXX
5720000   ,  [75],   XXX
5730000   ,  [75],   XXX
5740000   ,  [75],   XXX
5750000   ,  [75],   XXX
5760000   ,  [75],   XXX
5770000   ,  [75],   XXX
5780000   ,  [75],   XXX
5790000   ,  [75],   XXX
5800000   ,  [75],   XXX
5810000   ,  [75],   XXX
5820000   ,  [75],   XXX
5830000   ,  [75],   XXX
5840000   ,  [75],   XXX
5850000   ,  [75],   XXX
5860000   ,  [76],   XXX
5870000   ,  [76],   XXX
5880000   ,  [76],   XXX
5890000   ,  [76],   XXX
5900000   ,  [76],   XXX
5910000   ,  [76],   XXX
5920000   ,  [76],   XXX
5930000   ,  [76],   XXX
5940000   ,  [76],   XXX
5950000   ,  [76],   XXX
5960000   ,  [76],   XXX
5970000   ,  [76],   XXX
5980000   ,  [76],   XXX
5990000   ,  [76],   XXX
6000000   ,  [76],   XXX
6010000   ,  [76],   XXX
6020000   ,  [77],   XXX
6030000   ,  [77],   XXX
6040000   ,  [77],   XXX
6050000   ,  [77],   XXX
6060000   ,  [77],   XXX
6070000   ,  [77],   XXX
6080000   ,  [77],   XXX
6090000   ,  [77],   XXX
6100000   ,  [77],   XXX
6110000   ,  [77],   XXX
6120000   ,  [77],   XXX
6130000   ,  [77],   XXX
6140000   ,  [77],   XXX
6150000   ,  [77],   XXX
6160000   ,  [77],   XXX
6170000   ,  [78],   XXX
6180000   ,  [78],   XXX
6190000   ,  [78],   XXX
6200000   ,  [78],   XXX
6210000   ,  [78],   XXX
6220000   ,  [78],   XXX
6230000   ,  [78],   XXX
6240000   ,  [78],   XXX
6250000   ,  [78],   XXX
6260000   ,  [78],   XXX
6270000   ,  [78],   XXX
6280000   ,  [78],   XXX
6290000   ,  [78],   XXX
6300000   ,  [78],   XXX
6310000   ,  [78],   XXX
6320000   ,  [78],   XXX
6330000   ,  [79],   XXX
6340000   ,  [79],   XXX
6350000   ,  [79],   XXX
6360000   ,  [79],   XXX
6370000   ,  [79],   XXX
6380000   ,  [79],   XXX
6390000   ,  [79],   XXX
6400000   ,  [79],   XXX
6410000   ,  [79],   XXX
6420000   ,  [79],   XXX
6430000   ,  [79],   XXX
6440000   ,  [79],   XXX
6450000   ,  [79],   XXX
6460000   ,  [79],   XXX
6470000   ,  [79],   XXX
6480000   ,  [79],   XXX
6490000   ,  [80],   XXX
6500000   ,  [80],   XXX
6510000   ,  [80],   XXX
6520000   ,  [80],   XXX
6530000   ,  [80],   XXX
6540000   ,  [80],   XXX
6550000   ,  [80],   XXX
6560000   ,  [80],   XXX
6570000   ,  [80],   XXX
6580000   ,  [80],   XXX
6590000   ,  [80],   XXX
6600000   ,  [80],   XXX
6610000   ,  [80],   XXX
6620000   ,  [80],   XXX
6630000   ,  [80],   XXX
6640000   ,  [80],   XXX
6650000   ,  [81],   XXX
6660000   ,  [81],   XXX
6670000   ,  [81],   XXX
6680000   ,  [81],   XXX
6690000   ,  [81],   XXX
6700000   ,  [81],   XXX
6710000   ,  [81],   XXX
6720000   ,  [81],   XXX
6730000   ,  [81],   XXX
6740000   ,  [81],   XXX
6750000   ,  [81],   XXX
6760000   ,  [81],   XXX
6770000   ,  [81],   XXX
6780000   ,  [81],   XXX
6790000   ,  [81],   XXX
6800000   ,  [81],   XXX
6810000   ,  [81],   XXX
6820000   ,  [82],   XXX
6830000   ,  [82],   XXX
6840000   ,  [82],   XXX
6850000   ,  [82],   XXX
6860000   ,  [82],   XXX
6870000   ,  [82],   XXX
6880000   ,  [82],   XXX
6890000   ,  [82],   XXX
6900000   ,  [82],   XXX
6910000   ,  [82],   XXX
6920000   ,  [82],   XXX
6930000   ,  [82],   XXX
